allocation_id,employee_id,project_id,allocation_month,allocation_percentage,performance_rating
ALC00962,EMP0017,PRJ094,2025-01,75,3.0
ALC00963,EMP0036,PRJ032,2025-12,25,4.1
ALC00964,EMP0318,PRJ008,2025-05,75,3.9
ALC00965,EMP0483,PRJ060,2026-09,75,3.1
ALC00966,EMP0440,PRJ030,2025-01,50,3.4
ALC00967,EMP0440,PRJ087,2025-06,50,4.8
ALC00968,EMP0132,PRJ085,2026-12,50,3.7
ALC00969,EMP0055,PRJ033,2026-06,50,3.4
ALC00970,EMP0064,PRJ049,2025-01,50,4.7
ALC00971,EMP0022,PRJ033,2025-04,25,4.7
ALC00972,EMP0226,PRJ024,2025-05,100,4.3
ALC00973,EMP0139,PRJ069,2025-04,75,4.9
ALC00974,EMP0346,PRJ049,2025-10,100,3.5
ALC00975,EMP0043,PRJ051,2025-12,50,4.9
ALC00976,EMP0355,PRJ079,2026-08,100,4.8
ALC00977,EMP0490,PRJ064,2025-03,25,3.3
ALC00978,EMP0103,PRJ069,2025-05,50,3.4
ALC00979,EMP0144,PRJ052,2026-01,75,3.6
ALC00980,EMP0380,PRJ006,2026-02,50,4.8
ALC00981,EMP0256,PRJ079,2026-08,50,4.7
ALC00982,EMP0071,PRJ047,2025-10,50,3.7
ALC00983,EMP0457,PRJ007,2025-02,75,4.7
ALC00984,EMP0405,PRJ028,2026-05,100,3.4
ALC00985,EMP0162,PRJ071,2025-03,100,4.6
ALC00986,EMP0198,PRJ090,2026-08,25,3.3
ALC00987,EMP0397,PRJ015,2026-01,75,4.0
ALC00988,EMP0366,PRJ069,2026-03,50,3.6
ALC00989,EMP0150,PRJ042,2025-12,100,4.4
ALC00990,EMP0204,PRJ024,2026-04,100,3.5
ALC00991,EMP0461,PRJ011,2026-01,25,3.4
ALC00992,EMP0455,PRJ074,2025-07,100,4.7
ALC00993,EMP0313,PRJ048,2026-01,50,3.6
ALC00994,EMP0128,PRJ035,2026-01,50,4.9
ALC00995,EMP0447,PRJ090,2025-12,75,4.1
ALC00996,EMP0098,PRJ094,2025-05,25,3.6
ALC00997,EMP0089,PRJ088,2026-05,75,3.5
ALC00998,EMP0266,PRJ043,2025-02,100,4.0
ALC00999,EMP0114,PRJ075,2025-11,100,3.9
ALC01000,EMP0372,PRJ024,2026-02,100,3.7
